research_id,status,mode,baslangic_tarih,baslangic_saat,bitis_tarih,bitis_saat,not
AR_20260427234420_738f6,kapalı,Bugün alacağım,2026-04-27,23:44:20,2026-04-27,23:45:43,
AR_20260427234729_58386,kapalı,Bugün alacağım,2026-04-27,23:47:29,2026-04-27,23:50:50,
AR_20260427235329_d7190,kapalı,Bugün alacağım,2026-04-27,23:53:29,2026-04-27,23:56:04,
AR_20260428000106_74033,kapalı,Bugün alacağım,2026-04-28,00:01:06,2026-04-28,00:06:15,
AR_20260428000835_e0687,kapalı,Bugün alacağım,2026-04-28,00:08:35,2026-04-28,00:37:37,
AR_20260428003855_96343,açık,Bugün alacağım,2026-04-28,00:38:55,,,
